EventID,DetectorID,EnergyDeposition,X,Y
B,129: 3.65074,(51.7594,23.4082) 
B,1014: 0.598194,(55,50.6552) 
B,1050: 7.84464,(55,71.0048) 
B,2133: 4.20599,(-13.1782,101.047) 
B,2355: 8.51795,(51.0219,40.0309) 
A,2501: 4.62983,(0.6091,110) 
A,2717: 4.20726,(8.31629,100.18) 
B,2891: 6.99733,(45.5221,48.0743) 
B,2896: 10.6218,(32.1453,105.775) 
B,3436: 8.58002,(55,109.892) 
A,3442: 3.86942,(-14.2799,108.477) 
A,3820: 4.18416,(51.5723,32.534) 
A,4288: 1.53537,(-33.9331,110) 
A,4443: 11.7782,(49.5829,104.49) 
B,4696: 5.00368,(50.6431,28.2391) 
A,4842: 4.74265,(39.4379,110) 
B,4912: 3.5812,(32.7768,103.547) 
A,5198: 1.20513,(34.6031,110) 
A,5297: 5.10629,(55,52.5178) 
B,6224: 8.50744,(3.32404,110) 
B,7669: 9.76547,(49.6109,63.4787) 
A,8268: 12.5134,(49.9842,22.3967) 
B,9203: 0.694377,(53.6029,15.5967) 
A,9581: 1.85055,(48.1521,110) 
B,9684: 1.88259,(55,100.461) 
A,9846: 0.843061,(55,36.8578) 
